event,station,SW_max_amp
20141201003114,DR14,2.58E-09
20141201005048,DR14,9.20E-10
20141201025817,DR14,1.84E-10
20141201032251,DR14,9.09E-10
20141201050756,DR14,1.60E-10
20141201060513,DR14,2.85E-10
20141201063920,DR14,1.63E-10
20141201072523,DR14,4.06E-10
20141201074122,DR14,4.24E-09
20141201092145,DR14,2.74E-09
20141201092152,DR14,1.68E-09
20141201094606,DR14,3.00E-10
20141201094922,DR14,2.01E-10
20141201095010,DR14,1.64E-10
20141201101953,DR14,1.54E-10
20141201103813,DR14,1.32E-10
20141201142324,DR14,1.45E-10
20141201142521,DR14,1.36E-10
20141201144621,DR14,6.25E-09
20141201150302,DR14,1.09E-09
20141201152755,DR14,2.94E-10
20141201183610,DR14,1.62E-10
20141201184007,DR14,1.70E-10
20141201193106,DR14,9.66E-10
20141201205112,DR14,2.58E-10
20141201222042,DR14,6.98E-10
20141201235037,DR14,2.64E-09
20141202003002,DR14,1.31E-10
20141202021508,DR14,1.52E-10
20141202074732,DR14,2.43E-09
20141202094551,DR14,8.22E-10
20141202103129,DR14,2.37E-10
20141202120321,DR14,4.52E-09
20141202124246,DR14,3.19E-10
20141202131413,DR14,1.72E-10
20141202142300,DR14,2.06E-10
20141202151913,DR14,3.13E-09
20141202155423,DR14,5.55E-10
20141202160541,DR14,5.20E-10
20141202161257,DR14,1.29E-10
20141202171814,DR14,9.72E-10
20141202203130,DR14,1.80E-10
20141202211010,DR14,4.58E-10
20141202214555,DR14,2.05E-10
20141203025735,DR14,6.59E-10
20141203032717,DR14,1.63E-10
20141203054709,DR14,5.19E-10
20141203060555,DR14,7.23E-10
20141203061914,DR14,1.65E-10
20141203092559,DR14,3.94E-10
20141203101549,DR14,8.67E-09
20141203111405,DR14,1.63E-09
20141203115557,DR14,1.91E-10
20141203124218,DR14,1.25E-09
20141203134733,DR14,1.47E-10
20141203141951,DR14,2.34E-10
20141203143358,DR14,2.25E-09
20141203143734,DR14,1.47E-10
20141203161042,DR14,1.89E-10
20141203163103,DR14,2.45E-10
20141203170424,DR14,2.55E-10
20141203180731,DR14,1.51E-09
20141203182705,DR14,2.43E-10
20141203190013,DR14,2.58E-10
20141203193320,DR14,8.31E-10
20141203212656,DR14,9.18E-10
20141204002536,DR14,1.57E-10
20141204005042,DR14,3.02E-10
20141204020528,DR14,1.86E-10
20141204020537,DR14,2.30E-10
20141204031831,DR14,2.96E-10
20141204045103,DR14,2.36E-10
20141204063134,DR14,1.56E-10
20141204074934,DR14,2.24E-10
20141204074938,DR14,2.24E-10
20141204085045,DR14,1.99E-10
20141204090530,DR14,2.16E-10
20141204093155,DR14,3.65E-10
20141204104327,DR14,1.87E-10
20141204111410,DR14,4.87E-09
20141204122123,DR14,8.08E-09
20141204135924,DR14,1.28E-10
20141204140117,DR14,7.38E-10
20141204145145,DR14,1.28E-09
20141204163832,DR14,1.97E-10
20141204170108,DR14,2.00E-09
20141204171037,DR14,1.91E-10
20141204210607,DR14,2.53E-09
20141205040309,DR14,6.31E-09
20141205054536,DR14,5.15E-10
20141205055517,DR14,2.51E-09
20141205063905,DR14,6.09E-10
20141205075057,DR14,1.34E-09
20141205082737,DR14,2.48E-10
20141205095504,DR14,3.13E-10
20141205112309,DR14,9.73E-10
20141205112315,DR14,2.64E-10
20141205120050,DR14,1.86E-10
20141205131723,DR14,1.77E-10
20141205133135,DR14,1.18E-10
20141205135406,DR14,1.93E-09
20141205140233,DR14,1.75E-10
20141205144705,DR14,2.34E-10
20141205144757,DR14,4.92E-10
20141205154557,DR14,2.61E-09
20141205162945,DR14,3.42E-10
20141205163217,DR14,1.18E-09
20141205164813,DR14,3.60E-10
20141205170136,DR14,3.51E-10
20141205173516,DR14,1.96E-10
20141205175034,DR14,3.74E-10
20141205184525,DR14,1.96E-08
20141205200813,DR14,2.27E-10
20141205204644,DR14,2.55E-10
20141205211618,DR14,1.92E-10
20141205213614,DR14,3.74E-10
20141205225243,DR14,5.12E-10
20141206015545,DR14,8.77E-10
20141206024625,DR14,5.22E-10
20141206063801,DR14,2.64E-10
20141206072015,DR14,8.14E-10
20141206074712,DR14,1.91E-10
20141206082433,DR14,2.28E-10
20141206102936,DR14,2.07E-09
20141206110517,DR14,2.42E-10
20141206121733,DR14,2.31E-10
20141206141353,DR14,1.84E-10
20141206153625,DR14,2.27E-10
20141206154716,DR14,1.23E-10
20141206162253,DR14,8.25E-09
20141206163048,DR14,2.10E-10
20141206165551,DR14,2.57E-10
20141206172711,DR14,1.89E-10
20141206173416,DR14,2.66E-10
20141206202015,DR14,7.61E-10
20141206202658,DR14,1.42E-10
20141206210854,DR14,4.97E-10
20141206221652,DR14,3.07E-10
20141206234009,DR14,3.69E-10
20141206234052,DR14,2.11E-10
20141207002317,DR14,3.71E-10
20141207015748,DR14,1.42E-10
20141207033101,DR14,1.30E-10
20141207035601,DR14,1.31E-10
20141207053312,DR14,3.11E-10
20141207060424,DR14,9.28E-10
20141207060558,DR14,2.38E-10
20141207072739,DR14,7.56E-10
20141207101627,DR14,1.56E-10
20141207105220,DR14,2.65E-09
20141207111651,DR14,5.79E-10
20141207121307,DR14,1.61E-10
20141207141911,DR14,1.98E-10
20141207151749,DR14,3.91E-10
20141207152009,DR14,1.64E-10
20141207160950,DR14,1.59E-10
20141207161500,DR14,1.90E-10
20141207163517,DR14,1.26E-09
20141207165850,DR14,4.96E-10
20141207182532,DR14,1.58E-10
20141207183529,DR14,2.40E-10
20141207192234,DR14,7.11E-09
20141207192457,DR14,2.34E-10
20141207201853,DR14,1.27E-09
20141207215354,DR14,4.66E-10
20141207220445,DR14,1.81E-10
20141208004738,DR14,4.29E-10
20141208061219,DR14,1.40E-10
20141208065917,DR14,1.21E-09
20141208082328,DR14,4.50E-10
20141208085701,DR14,1.72E-10
20141208102951,DR14,2.81E-10
20141208105516,DR14,1.93E-10
20141208114944,DR14,1.73E-10
20141208140412,DR14,1.67E-10
20141208142601,DR14,2.17E-10
20141208142711,DR14,3.48E-10
20141208152739,DR14,6.32E-09
20141208161551,DR14,1.22E-09
20141208162852,DR14,1.60E-10
20141208172429,DR14,2.52E-10
20141208185251,DR14,6.89E-09
20141208204800,DR14,3.38E-10
20141208210550,DR14,1.59E-10
20141208233518,DR14,1.07E-09
20141208234019,DR14,1.43E-10
20141209014721,DR14,8.96E-10
20141209041653,DR14,8.42E-10
20141209115311,DR14,2.99E-10
20141209131348,DR14,1.55E-10
20141209145429,DR14,1.85E-10
20141209152304,DR14,4.42E-10
20141209194727,DR14,1.57E-10
20141209201233,DR14,4.46E-10
20141209204315,DR14,4.39E-10
20141209213736,DR14,9.36E-10
20141210004301,DR14,1.82E-09
20141210043121,DR14,1.73E-09
20141210052850,DR14,1.75E-10
20141210080421,DR14,2.79E-10
20141210085336,DR14,8.31E-10
20141210101440,DR14,1.95E-09
20141210120000,DR14,5.80E-10
20141210120430,DR14,2.73E-10
20141210121056,DR14,2.30E-10
20141210124536,DR14,3.32E-10
20141210131820,DR14,1.87E-09
20141210135233,DR14,2.49E-10
20141210153405,DR14,1.54E-10
20141210171317,DR14,1.54E-10
20141210171840,DR14,4.12E-09
20141210174715,DR14,3.18E-09
20141210181020,DR14,9.81E-11
20141210184836,DR14,1.40E-09
20141210191152,DR14,1.63E-10
20141210192251,DR14,3.35E-10
20141210194148,DR14,2.37E-10
20141210195846,DR14,5.26E-10
20141210201704,DR14,9.18E-10
20141210233839,DR14,4.16E-10
20141210234026,DR14,8.51E-10
20141211003324,DR14,1.00E-09
20141211003739,DR14,1.66E-10
20141211012121,DR14,1.76E-10
20141211041536,DR14,1.82E-10
20141211043911,DR14,4.49E-10
20141211045048,DR14,1.85E-10
20141211050007,DR14,3.79E-09
20141211054654,DR14,3.58E-10
20141211055500,DR14,2.41E-10
20141211065735,DR14,3.10E-10
20141211081854,DR14,1.99E-09
20141211092326,DR14,6.17E-10
20141211093802,DR14,7.57E-10
20141211100413,DR14,4.13E-10
20141211102441,DR14,1.81E-10
20141211113853,DR14,1.91E-10
20141211123410,DR14,2.37E-10
20141211131509,DR14,1.84E-10
20141211140818,DR14,4.17E-10
20141211141340,DR14,3.79E-09
20141211142147,DR14,1.59E-08
20141211153705,DR14,5.21E-10
20141211163816,DR14,2.32E-10
20141211232848,DR14,4.58E-10
20141212001516,DR14,3.62E-10
20141212031922,DR14,3.99E-10
20141212033618,DR14,4.07E-10
20141212034608,DR14,2.35E-10
20141212035046,DR14,1.48E-10
20141212040041,DR14,6.55E-10
20141212060501,DR14,1.03E-09
20141212091646,DR14,1.35E-09
20141212095835,DR14,3.23E-10
20141212132724,DR14,3.28E-09
20141212142612,DR14,3.00E-10
20141212151300,DR14,1.88E-10
20141212152206,DR14,1.33E-10
20141212152225,DR14,1.60E-10
20141212160824,DR14,3.24E-10
20141212181417,DR14,8.12E-10
20141212183733,DR14,1.54E-10
20141212201301,DR14,2.99E-10
20141212221314,DR14,2.51E-10
20141212223333,DR14,1.71E-10
20141213012252,DR14,9.22E-10
20141213014332,DR14,2.11E-10
20141213023233,DR14,3.82E-10
20141213041404,DR14,3.79E-10
20141213042247,DR14,2.15E-10
20141213053551,DR14,1.70E-10
20141213084921,DR14,5.87E-10
20141213120841,DR14,1.18E-09
20141213130359,DR14,2.96E-10
20141213134704,DR14,5.10E-10
20141213151648,DR14,2.07E-10
20141213153828,DR14,7.32E-09
20141213155137,DR14,2.41E-09
20141213163712,DR14,2.09E-10
20141213172738,DR14,2.11E-09
20141213175006,DR14,3.60E-10
20141213182115,DR14,1.56E-10
20141213202229,DR14,2.15E-10
20141213205152,DR14,1.20E-09
20141213213208,DR14,2.08E-10
20141213221839,DR14,1.21E-10
20141213222055,DR14,8.31E-10
20141214003223,DR14,1.45E-10
20141214034505,DR14,1.38E-10
20141214055429,DR14,7.37E-10
20141214094054,DR14,2.92E-10
20141214100000,DR14,1.61E-10
20141214110827,DR14,3.26E-10
20141214111554,DR14,1.40E-10
20141214124709,DR14,1.73E-10
20141214125218,DR14,1.84E-10
20141214133744,DR14,1.39E-10
20141214151033,DR14,2.24E-10
20141214153224,DR14,2.09E-10
20141214155256,DR14,1.57E-10
20141214162308,DR14,2.17E-10
20141214165133,DR14,2.98E-10
20141214180918,DR14,7.35E-10
20141214201603,DR14,5.66E-10
20141214224109,DR14,5.54E-10
20141215034037,DR14,3.06E-10
20141215034054,DR14,4.77E-10
20141215045348,DR14,1.07E-10
20141215052512,DR14,1.54E-10
20141215053849,DR14,8.64E-09
20141215054424,DR14,5.32E-10
20141215064036,DR14,8.38E-10
20141215065124,DR14,1.19E-10
20141215085410,DR14,9.45E-10
20141215111338,DR14,3.05E-10
20141215111519,DR14,4.93E-10
20141215124916,DR14,2.02E-10
20141215125242,DR14,1.38E-10
20141215135901,DR14,4.02E-10
20141215141933,DR14,1.54E-10
20141215150513,DR14,5.72E-10
20141215153014,DR14,1.91E-10
20141215163345,DR14,3.05E-10
20141215173215,DR14,8.96E-11
20141215200603,DR14,1.74E-10
20141216011414,DR14,2.44E-10
20141216021133,DR14,6.90E-10
20141216035553,DR14,4.13E-10
20141216041117,DR14,1.49E-10
20141216051330,DR14,1.69E-10
20141216071622,DR14,4.22E-10
20141216083509,DR14,3.47E-10
20141216092235,DR14,1.67E-10
20141216093259,DR14,2.05E-09
20141216110131,DR14,9.37E-10
20141216115057,DR14,2.00E-10
20141216115319,DR14,9.80E-09
20141216130207,DR14,3.19E-10
20141216150024,DR14,1.67E-10
20141216150924,DR14,2.33E-10
20141216153756,DR14,3.09E-10
20141216154825,DR14,6.62E-09
20141216165957,DR14,7.52E-10
20141216185109,DR14,2.56E-10
20141216201905,DR14,1.55E-10
20141216232742,DR14,1.99E-10
20141217000750,DR14,6.67E-10
20141217010100,DR14,2.19E-10
20141217060323,DR14,1.03E-09
20141217065410,DR14,5.30E-10
20141217091514,DR14,4.51E-10
20141217101655,DR14,3.36E-10
20141217123321,DR14,1.96E-10
20141217124906,DR14,3.26E-10
20141217134005,DR14,3.51E-10
20141217135313,DR14,1.86E-10
20141217140008,DR14,1.46E-10
20141217142051,DR14,1.96E-10
20141217142842,DR14,1.67E-10
20141217150053,DR14,1.61E-10
20141217150449,DR14,1.32E-10
20141217151410,DR14,2.94E-10
20141217152050,DR14,5.25E-09
20141217155502,DR14,1.10E-10
20141217160346,DR14,7.11E-10
20141217161400,DR14,4.44E-10
20141217161412,DR14,1.57E-10
20141217163340,DR14,4.75E-09
20141217173249,DR14,1.59E-10
20141217181338,DR14,4.28E-10
20141217185336,DR14,7.19E-10
20141217213333,DR14,2.34E-10
20141217224043,DR14,4.74E-10
20141218003111,DR14,2.70E-10
20141218030525,DR14,1.19E-09
20141218041905,DR14,1.28E-10
20141218041906,DR14,1.28E-10
20141218050631,DR14,3.17E-10
20141218062623,DR14,1.98E-10
20141218063009,DR14,1.38E-10
20141218065539,DR14,4.58E-10
20141218081023,DR14,2.04E-10
20141218082116,DR14,1.83E-10
20141218092838,DR14,1.14E-10
20141218094123,DR14,2.56E-10
20141218135106,DR14,2.12E-10
20141218144545,DR14,1.70E-10
20141218151827,DR14,6.77E-10
20141218152230,DR14,7.17E-10
20141218155636,DR14,6.62E-10
20141218155829,DR14,4.83E-10
20141218184557,DR14,1.28E-09
20141218221449,DR14,1.69E-10
20141218224747,DR14,2.43E-10
20141219020501,DR14,1.81E-09
20141219064148,DR14,4.64E-09
20141219084906,DR14,4.18E-09
20141219092027,DR14,2.16E-10
20141219103433,DR14,4.39E-10
20141219123230,DR14,4.32E-10
20141219142519,DR14,2.47E-10
20141219150043,DR14,9.11E-10
20141219161433,DR14,3.69E-10
20141219162459,DR14,2.41E-10
20141219220703,DR14,3.29E-10
20141220002127,DR14,2.45E-10
20141220011155,DR14,6.10E-10
20141220031524,DR14,1.29E-10
20141220070356,DR14,4.43E-10
20141220085114,DR14,1.56E-10
20141220085825,DR14,2.82E-10
20141220092311,DR14,1.08E-09
20141220103752,DR14,2.82E-10
20141220104438,DR14,5.79E-10
20141220144120,DR14,1.73E-10
20141220150616,DR14,4.94E-10
